id,title,description,status,project,priority,dueDate,createdAt,estimatedTime,tags,timeElapsed,workingFor,workingWith,checkpoints,documents,pinned,colorLabel
task-1768804932575,Starting app in WSL via shotcut,"
cat >> ~/.bashrc <<'EOF'
tapp() {
  (
    cd /home/revanth/tracking-status/app || { echo ""Path not found""; return 1; }
    nohup npm start > nohup.out 2>&1 &
  )
  echo ""Started t-app (log: /home/revanth/tracking-status/app/nohup.out)""
}

tapp-logs() {
  tail -f /home/revanth/tracking-status/app/nohup.out
}

tapp-stop() {
  pkill -f ""node.*tracking-status|npm start"" && echo ""Stopped t-app""
}
EOF

# Reload your shell config
source ~/.bashrc
",completed,Learnings,low,2026-01-18T00:00:00.000Z,2026-01-19T06:42:12.575Z,,Learning,0,,,[],[],false,
task-1768996441486,Implement Agentic Approach for code Migration,"do R&d and implement best ",completed,Learnings,low,2026-03-01T00:00:00.000Z,2026-01-21T11:54:01.486Z,,,0,,,[],[],false,
task-1769496399108,User redirecting,redirect user from PM to pillars,completed,ZenseAI.Data,low,2026-02-01T00:00:00.000Z,2026-01-27T06:46:39.108Z,,PM & 4-apps,0,,,"[{""id"":1770659987254,""text"":""Offerings"",""completed"":true,""createdAt"":""2026-02-09T17:59:47.254Z""},{""id"":1770659993647,""text"":""pillars"",""completed"":true,""createdAt"":""2026-02-09T17:59:53.647Z""}]",[],false,
task-1769496546615,DQ-Scores-UI,update the code in DQ Agent in main prod with nfum code (BE),completed,ZenseAI.Data,low,2026-01-29T00:00:00.000Z,2026-01-27T06:49:06.615Z,,,0,,,[],[],false,
task-1769496586958,"NFUM-logo ",change the zensar logo to nfum logo,completed,ZenseAI.Data,low,2026-01-27T00:00:00.000Z,2026-01-27T06:49:46.958Z,,,0,,,[],[],false,
task-1769497588550,Explore Agentic AI,"Explore Agentic Ai solution ",completed,Learnings,low,2026-02-28T00:00:00.000Z,2026-01-27T07:06:28.550Z,,Agentic-Learnings,0,,,[],"[{""id"":1769497568911.4023,""name"":""Ref-1"",""url"":""https://github.com/Shubhamsaboo/awesome-llm-apps"",""type"":""link"",""addedAt"":""2026-01-27T07:06:08.911Z""},{""id"":1769497584448.7168,""name"":""Ref-2"",""url"":""https://github.com/kaushikb11/awesome-llm-agents"",""type"":""link"",""addedAt"":""2026-01-27T07:06:24.448Z""}]",false,
task-1769611470790,Enhance the App from streamlit to React App,Develop the app in the React and Flask,completed,Data Explorer,low,2024-08-28T00:00:00.000Z,2026-01-28T14:44:30.790Z,,,0,,,[],[],false,
task-1769611504125,data explorer charts,Enhance the Charts with Ag-grids,completed,Data Explorer,low,2024-07-30T00:00:00.000Z,2026-01-28T14:45:04.125Z,,,0,,,[],[],false,
task-1769777153917,Go through Project files,"Go through the project files and doc, videos",completed,Enlace - BCBS,low,2026-02-05T00:00:00.000Z,2026-01-30T12:45:53.917Z,,,0,,,[],[],false,
task-1770016597784,Innovation Festival App,Develop a innovation app for 1000+ users that should work,completed,ZenseAI.Data,low,2026-02-26T00:00:00.000Z,2026-02-02T07:16:37.784Z,,Innovation_festival,0,,,[],[],false,
task-1770628712246,IBM Watsonx - AI Requirements,"Deploy the KC,TM using IBM models and deploy on there platform",completed,ZenseAI.Data,low,2026-03-20T00:00:00.000Z,2026-02-09T09:18:32.246Z,,IBM,0,,,"[{""id"":1770628710387,""text"":""Requirements"",""completed"":false,""createdAt"":""2026-02-09T09:18:30.387Z""}]",[],false,
task-1770630405228,KC Development (Agentic),Implement Agentic in the CM & KC with Nimesh,completed,POCs-Development,low,2026-02-12T00:00:00.000Z,2026-02-09T09:46:45.228Z,,,0,,,[],[],false,
task-1770700879072,Explore about TOON,"it is a new tool that we can use this tool to sent the data to llm model instead of json format where it will decrease the token size ",completed,Learnings,low,2026-03-14T00:00:00.000Z,2026-02-10T05:21:19.072Z,,TOON-JSON,0,,,[],"[{""id"":1770701165869.7961,""name"":""github"",""url"":""https://github.com/toon-format/toon"",""type"":""link"",""addedAt"":""2026-02-10T05:26:05.869Z""},{""id"":1770701180814.638,""name"":""app_url"",""url"":""https://toonformat.dev/"",""type"":""link"",""addedAt"":""2026-02-10T05:26:20.814Z""}]",false,
task-1770788764533,Enable all connections & Datasets,Enable all connections & Datasets for all the user and see the complications and fix them,completed,ZenseAI.Data,low,2026-02-20T00:00:00.000Z,2026-02-11T05:46:04.533Z,,,0,,,"[{""id"":1770788753233,""text"":""Governance"",""completed"":true,""createdAt"":""2026-02-11T05:45:53.233Z""},{""id"":1770788757172,""text"":""Insights"",""completed"":true,""createdAt"":""2026-02-11T05:45:57.172Z""},{""id"":1770788762072,""text"":""Engineering"",""completed"":true,""createdAt"":""2026-02-11T05:46:02.072Z""}]",[],false,
task-1770877470060,Integrate OTP to Offerings,Integrate the OTP to all offerings,completed,ZenseAI.Data,low,2026-02-18T00:00:00.000Z,2026-02-12T06:24:30.060Z,,offerings,0,,,[],[],false,
task-1770959888581,Integrate VAPT to Prod,Integrate VAPT to all four pillars,completed,ZenseAI.Data,high,2026-02-20T00:00:00.000Z,2026-02-13T05:18:08.581Z,,VAPT - PROD,0,,,"[{""id"":1770959877192,""text"":""Governance"",""completed"":false,""createdAt"":""2026-02-13T05:17:57.192Z""},{""id"":1770959880138,""text"":""Insights"",""completed"":false,""createdAt"":""2026-02-13T05:18:00.138Z""},{""id"":1770959884597,""text"":""Engineering"",""completed"":false,""createdAt"":""2026-02-13T05:18:04.597Z""},{""id"":1770959886515,""text"":""AMS"",""completed"":false,""createdAt"":""2026-02-13T05:18:06.515Z""}]",[],false,
task-1772429740218,"Prepare UI/UX ","prepare the UI skeleton ",completed,Enlace - BCBS,high,2026-03-06T00:00:00.000Z,2026-03-02T05:35:40.218Z,,,0,,Sriram,"[{""id"":1772429738685,""text"":""validate with Nimesh"",""completed"":false,""createdAt"":""2026-03-02T05:35:38.685Z""}]",[],false,
task-1772429887255,Prepare BE STructure,"Prepare the Backend structure what type of agents,etc",completed,Enlace - BCBS,high,2026-03-06T00:00:00.000Z,2026-03-02T05:38:07.255Z,,,0,,,"[{""id"":1772429885298,""text"":""validate with nimesh"",""completed"":false,""createdAt"":""2026-03-02T05:38:05.298Z""}]",[],false,
task-1772429962520,Prepare Agents Arch,prepare the agents list and types for the project,completed,Enlace - BCBS,high,2026-03-06T00:00:00.000Z,2026-03-02T05:39:22.520Z,,,0,,,[],[],false,
task-1772430052740,Anthropic Model Test & Integration,"Integrate Anthropic model in data explorer ",completed,Enlace - BCBS,high,2026-02-27T00:00:00.000Z,2026-03-02T05:40:52.740Z,,,0,,,[],[],false,
task-1773396669788,Client Envista application setup,prepare the dq and technicalprofiling,completed,ZenseAI.Data,high,2026-03-20T00:00:00.000Z,2026-03-13T10:11:09.788Z,,,0,,"Naidu, Sarika","[{""id"":1773396662582,""text"":""validate post deployment"",""completed"":false,""createdAt"":""2026-03-13T10:11:02.582Z""},{""id"":1773396667566,""text"":""validate in local"",""completed"":false,""createdAt"":""2026-03-13T10:11:07.566Z""}]",[],false,
task-1773723023309,new Pillar on ZenseAI.Data,"Build a new pillar it contains the chatbot combinations of modules from engineering   Connect to Data Source
Profile the source + Metadata creation + Model IQ
Smart Data Ingestion - Create data pipelines to ingest data into Bronze
Data ingestion into Silver with DQ checks
Data Masking  - data is now in Silver Layer
Data Transformer (Auto Data Visualizer) - moving data into Gold Layer
Identify KPIs from data in Silver layer
Create the facts and dimension tables
Write the DDLs to create the Facts and Dims
Create Fs and Ds in db (gold layer)
Build transformation pipelines to populate the Fs and Ds
Automated Dashboard Creation with Narrative Insights",completed,ZenseAI.Data,high,2026-03-27T00:00:00.000Z,2026-03-17T04:50:23.309Z,,,0,,"naidu, sarika",[],[],false,
task-1776062375505,Fix the 7-Major Issues,"KPI Formatting:
Ensure all KPI values displayed in the dashboard use the correct symbols, such as $ for monetary values and % for percentage-based metrics.
Performance Improvement:
The bot is currently taking too long to generate answers, especially during SQL query execution. Query response time needs to be reduced significantly to improve overall performance.
Chat History Maintenance:
The bot should maintain chat history so that previous interactions and context are preserved across the conversation.
Complete KPI Values:
KPI metrics shown in the dashboard should display full values and should not be rounded off. Large numeric values should be formatted with comma separators to improve readability.
Dashboard Text Cleanup:
In the dashboard, KPI metrics currently display the text “derived from query results.” This should be removed, as it is not necessary in the final user-facing output.
Follow-up Question Handling:
The bot should be able to answer the follow-up suggested questions that it generates under the Insight tab accurately and consistently.
Deep-Level Analysis:
The bot should also be able to answer deep level natural questions, such as: “Why does a particular physician have the highest PMPM cost?”",completed,Enlace - BCBS,high,2026-04-17T00:00:00.000Z,2026-04-13T06:39:35.505Z,,,0,,,"[{""id"":1776062351783,""text"":""task-1"",""completed"":false,""createdAt"":""2026-04-13T06:39:11.783Z""},{""id"":1776062354287,""text"":""task-2"",""completed"":false,""createdAt"":""2026-04-13T06:39:14.287Z""},{""id"":1776062357056,""text"":""task-3"",""completed"":false,""createdAt"":""2026-04-13T06:39:17.056Z""},{""id"":1776062365466,""text"":""task-4"",""completed"":false,""createdAt"":""2026-04-13T06:39:25.466Z""},{""id"":1776062367844,""text"":""task-5"",""completed"":false,""createdAt"":""2026-04-13T06:39:27.844Z""},{""id"":1776062370079,""text"":""task-6"",""completed"":false,""createdAt"":""2026-04-13T06:39:30.079Z""},{""id"":1776062372468,""text"":""task-7"",""completed"":false,""createdAt"":""2026-04-13T06:39:32.468Z""}]",[],false,
task-1778046424221,R&D and testing creds,test the MAO and WMI,completed,Michael Kors - MK,high,2026-05-07T00:00:00.000Z,2026-05-06T05:47:04.221Z,,,0,,,[],[],false,
task-1778046519810,"Create a chatbot ",work on chatbot and develop it more efficient,completed,UNFPA,high,2026-05-08T00:00:00.000Z,2026-05-06T05:48:39.810Z,,,0,,,[],[],false,
task-1778046560464,Develop Dashbaord,develop dashboard more attractively and more looking,completed,UNFPA,high,2026-05-08T00:00:00.000Z,2026-05-06T05:49:20.464Z,,,0,,,[],[],false,
task-1778495857868,Create a chatbot fot UNFPA,,completed,UNFPA,medium,2026-05-13T00:00:00.000Z,2026-05-11T10:37:37.868Z,,,0,,,[],[],false,
task-1778495898935,Check the Questions and build Dashboard,test the questions and if not working include them in the Dashboard,completed,UNFPA,medium,2026-05-13T00:00:00.000Z,2026-05-11T10:38:18.935Z,,,0,,,[],[],false,
task-1778496024897,Build UI with sample Excel Response,,completed,Michael Kors - MK,medium,2026-05-15T00:00:00.000Z,2026-05-11T10:40:24.897Z,,,0,,,[],[],false,
task-1778496100238,"Change the Dataset Initialization name ","change it to UNF procumbent Dashboard, etc. check with sanket",completed,,medium,2026-05-13T00:00:00.000Z,2026-05-11T10:41:40.238Z,,,0,,,[],[],false,
task-1778496882359,remove these stores these are warehouses,"910
920
70910
5909
are warehouse",completed,Michael Kors - MK,high,2026-05-15T00:00:00.000Z,2026-05-11T10:54:42.359Z,,,0,,,[],[],false,
task-1786560190068,complete new task,,completed,Data Quality,medium,2026-08-12T00:00:00.000Z,2026-08-12T18:43:10.068Z,,,0,,,[],[],false,
task-1786560224682,DQ check,,completed,,high,2026-08-13T00:00:00.000Z,2026-08-12T18:43:44.682Z,,,0,,,[],[],false,
